-1 RhoA RhouA RhoEA
1 0.06965078262625028 0.09189128742495478 0.2988382104549573
2 0.06891143873376832 0.09225931519315231 0.29280580756990365
3 0.067527372734528 0.08784653213246373 0.2849262409864135
4 0.06641964505244222 0.0883277657178856 0.2794183065192454
5 0.06513836147623973 0.08418740420230184 0.27207420712533487
6 0.06411382581380745 0.08468556639595563 0.2669974799830577
7 0.0629240904357522 0.08082702254540815 0.2601490152780535
8 0.0619697283265882 0.08127863792557759 0.25541968567583123
9 0.06086237927834032 0.07770089157374484 0.24902947670571596
10 0.059968307285971675 0.07806594431479945 0.24458536558219726
11 0.058935728769863284 0.07476061986632701 0.23861864957491008
12 0.05809447976629241 0.07501657815202764 0.23441427189020025
13 0.05713024444799405 0.07197046856561776 0.22883899860354556
14 0.05633619023185023 0.07210748895837756 0.22484158440892943
15 0.055434796411632466 0.06930450106171326 0.21962841958017168
16 0.0546836885067269 0.06932167057360628 0.21581474451491336
17 0.053840365182702535 0.0667442741105915 0.21093699612188707
18 0.053128973577884056 0.06664672611942751 0.20729088413050736
19 0.05233953414413296 0.06427699624806803 0.20272436916580983
20 0.051665366276255696 0.06407373897617044 0.1992347453136027
21 0.050926097182132216 0.06189407706242336 0.19495761437803205
22 0.05028718201337892 0.061596389053601486 0.19161700233204013
23 0.049594756754423756 0.059589996017274986 0.18760953764566213
24 0.04898948118493525 0.05921026412195275 0.1844129128881863
25 0.04834089288752809 0.05736142819128227 0.18065731299289906
26 0.047767879887380224 0.056912325390414534 0.1776012381027562
27 0.04716038778863528 0.055206574048928286 0.17408140002734127
28 0.04661840749781363 0.05470049460322913 0.17116338188699218
29 0.04604949403894738 0.05312464977642017 0.1678646891253108
30 0.0455374006723449 0.05257333664708592 0.16508270952004556
31 0.045004736892058896 0.0511155031283263 0.16199183197727482
32 0.04452142561972912 0.05052981713761016 0.15934401278508434
33 0.04402284318476543 0.04917932689149136 0.15644872293954404
34 0.04356722226585344 0.04856911884377137 0.1539330951211192
35 0.04310069090548508 0.047316447982258765 0.15122210304429662
36 0.04267166526997416 0.04669050429373669 0.1488364551379962
37 0.042235274660642246 0.04552717496772415 0.14629926369944804
38 0.041831737887100214 0.04489321465087589 0.1440410507257378
39 0.04142368321429692 0.04381169060274641 0.14166783125584745
40 0.0410445154715182 0.04317639709942563 0.13953412905271181
41 0.04066308601495452 0.042169978969054264 0.13731561691227728
42 0.04030715604429191 0.04153905465740726 0.13530311015312932
43 0.03995072621392989 0.040601779143339414 0.13323051902987307
44 0.03961689584650842 0.03998001363956924 0.13133551369074475
45 0.03928391815692687 0.039106559139213 0.12940046697768856
46 0.038971048200850546 0.03849790500463763 0.12761891996736516
47 0.03866004771961131 0.03768350527244112 0.12581339725147261
48 0.03836700432820701 0.037091156602357685 0.1241409574197415
49 0.0380765741760208 0.036331523178745016 0.12245725390036176
50 0.037802235028194506 0.035757993936886015 0.12088930979812347
51 0.037531032546120904 0.0350492475400611 0.11932000634243972
52 0.037274292340801825 0.034496447522993495 0.11785173700435048
53 0.03702103557026098 0.03383505820461919 0.11638967850955943
54 0.03678081046283128 0.033304365262678576 0.1150161042252168
55 0.0365442746041582 0.032687100862975535 0.11365438397505041
56 0.036319505295586946 0.03217942853704861 0.11237041455070003
57 0.03609851881624195 0.03160331080319059 0.11110236230956663
58 0.035888172045931095 0.031119170913328806 0.10990284072743756
59 0.03568161209478848 0.03058143854373698 0.10872201238613395
60 0.035484680284741325 0.03012099852803637 0.10760175205698252
61 0.03529146702564079 0.029619076357737275 0.10650191869719242
62 0.035106965772977894 0.029182211339832256 0.1054557326716386
63 0.03492605516899476 0.028713684876260633 0.10443086691576996
64 0.03475301818174975 0.028300024563455973 0.10345358746053084
65 0.034583392635330175 0.02786261910807686 0.10249784489189297
66 0.034420863553170054 0.02747158970953717 0.10158433174338842
67 0.03426151964014681 0.027063153352521754 0.10069202501381128
68 0.03410853998958668 0.02669401477276798 0.09983716041481894
69 0.033958472336560214 0.026312504620146577 0.09900272343093242
70 0.033814064672437125 0.025964383234939506 0.09820139180450486
71 0.03367224486150211 0.025607854312502967 0.09741933119161175
72 0.03353539000816933 0.02527977167127718 0.09666638116412993
73 0.03340073933457332 0.02494636803123393 0.09593121225596778
74 0.03327034667137253 0.02463726584061916 0.09522139899599198
75 0.03314170176241654 0.02432521344841282 0.09452756425651913
76 0.033016571853092765 0.02403397514748518 0.09385547118501732
77 0.032892642748571094 0.02374157610560083 0.09319724072303831
78 0.0327714224580801 0.02346704519877084 0.09255718206333513
79 0.03265074389591536 0.023192672715898865 0.09192853917729221
